,id,Wave,Answer,Repeater,Course,Group,Sex,outlier_type,outlier
1534,202.0,d,1,0.0,2,201,1,0,0
2142,202.0,e,1,0.0,2,201,1,0,0
2733,202.0,f,1,0.0,3,301,1,0,0
3318,202.0,g,1,0.0,3,301,1,0,0
3827,202.0,h,1,0.0,3,301,1,0,0
4471,202.0,i,1,0.0,4,401,1,0,0
4952,202.0,j,1,0.0,4,401,1,0,0
5538,202.0,k,1,0.0,4,401,1,0,0
99,203.0,a,1,0.0,1,101,0,0,0
480,203.0,b,1,0.0,1,101,0,0,0
1008,203.0,c,1,0.0,2,201,0,0,0
1536,203.0,d,1,0.0,2,201,0,0,0
2144,203.0,e,1,0.0,2,201,0,0,0
2732,203.0,f,1,0.0,3,301,0,0,0
3319,203.0,g,1,0.0,3,301,0,0,0
3828,203.0,h,1,0.0,3,301,0,0,0
4460,203.0,i,1,0.0,4,401,0,0,0
4954,203.0,j,1,0.0,4,401,0,0,0
5536,203.0,k,1,0.0,4,401,0,0,0
91,204.0,a,1,0.0,1,101,1,0,0
479,204.0,b,1,0.0,1,101,1,0,0
1009,204.0,c,1,0.0,2,201,1,0,0
1537,204.0,d,1,0.0,2,201,1,0,0
2145,204.0,e,1,0.0,2,201,1,0,0
2762,204.0,f,1,0.0,3,302,1,0,0
3232,204.0,g,1,0.0,3,302,1,0,0
3808,204.0,h,1,0.0,3,302,1,0,0
4507,204.0,i,1,0.0,4,402,1,0,0
5011,204.0,j,1,0.0,4,402,1,0,0
5612,204.0,k,1,0.0,4,402,1,0,0
107,205.0,a,1,0.0,1,101,1,0,0
550,205.0,b,1,0.0,1,101,1,0,0
995,205.0,c,1,0.0,2,201,1,0,0
1538,205.0,d,1,0.0,2,201,1,0,0
2146,205.0,e,1,0.0,2,201,1,0,0
2761,205.0,f,1,0.0,3,302,1,0,0
3233,205.0,g,1,0.0,3,302,1,0,0
3807,205.0,h,1,0.0,3,302,1,0,0
4508,205.0,i,1,0.0,4,402,1,0,0
5010,205.0,j,1,0.0,4,402,1,0,0
5611,205.0,k,1,0.0,4,402,1,0,0
106,206.0,a,1,0.0,1,101,1,0,0
549,206.0,b,1,0.0,1,101,1,0,0
1032,206.0,c,1,0.0,2,202,1,0,0
1491,206.0,d,1,0.0,2,202,1,0,0
2070,206.0,e,1,0.0,2,202,1,0,0
2760,206.0,f,1,0.0,3,302,1,0,0
3234,206.0,g,1,0.0,3,302,1,0,0
3805,206.0,h,1,0.0,3,302,1,0,0
4509,206.0,i,1,0.0,4,402,1,0,0
5009,206.0,j,1,0.0,4,402,1,0,0
5610,206.0,k,1,0.0,4,402,1,0,0
0,207.0,a,1,0.0,1,101,1,0,0
548,207.0,b,1,0.0,1,101,1,0,0
993,207.0,c,1,0.0,2,201,1,0,0
1553,207.0,d,1,0.0,2,201,1,0,0
2139,207.0,e,1,0.0,2,201,1,0,0
2759,207.0,f,1,0.0,3,302,1,0,0
3235,207.0,g,1,0.0,3,302,1,0,0
3803,207.0,h,1,0.0,3,302,1,0,0
4461,207.0,i,1,0.0,4,401,1,0,0
4955,207.0,j,1,0.0,4,401,1,0,0
5535,207.0,k,1,0.0,4,401,1,0,0
101,208.0,a,1,0.0,1,102,0,0,0
457,208.0,b,1,0.0,1,102,0,0,0
988,208.0,c,1,0.0,2,202,0,0,0
1554,208.0,d,1,0.0,2,202,0,0,0
2062,208.0,e,1,0.0,2,202,0,0,0
2727,208.0,f,1,0.0,3,302,0,0,0
3325,208.0,g,1,0.0,3,302,0,0,0
3843,208.0,h,1,0.0,3,302,0,0,0
4492,208.0,i,1,0.0,4,402,0,0,0
4962,208.0,j,1,0.0,4,402,0,0,0
5527,208.0,k,1,0.0,4,402,0,0,0
108,209.0,a,0,0.0,1,102,1,0,0
456,209.0,b,1,0.0,1,102,1,0,0
987,209.0,c,1,0.0,2,202,1,0,0
1547,209.0,d,1,0.0,2,202,1,0,0
2063,209.0,e,1,0.0,2,202,1,0,0
2737,209.0,f,1,0.0,3,302,1,0,0
3326,209.0,g,1,0.0,3,302,1,0,0
3842,209.0,h,1,0.0,3,302,1,0,0
4464,209.0,i,1,0.0,4,401,1,0,0
4972,209.0,j,1,0.0,4,401,1,0,0
5522,209.0,k,1,0.0,4,401,1,1,1
100,210.0,a,1,0.0,1,102,1,0,0
455,210.0,b,1,0.0,1,102,1,0,0
986,210.0,c,1,0.0,2,202,1,0,0
1545,210.0,d,1,0.0,2,202,1,0,0
2064,210.0,e,1,0.0,2,202,1,0,0
2811,210.0,f,1,0.0,3,301,1,0,0
3302,210.0,g,1,0.0,3,301,1,0,0
3825,210.0,h,1,0.0,3,301,1,0,0
4493,210.0,i,1,0.0,4,402,1,0,0
4963,210.0,j,1,0.0,4,402,1,0,0
5526,210.0,k,1,0.0,4,402,1,0,0
98,211.0,a,1,0.0,1,102,1,0,0
454,211.0,b,1,0.0,1,102,1,0,0
1048,211.0,c,1,0.0,2,201,1,0,0
1487,211.0,d,1,0.0,2,201,1,0,0
2138,211.0,e,1,0.0,2,201,1,0,0
2747,211.0,f,1,0.0,3,301,1,0,0
3305,211.0,g,1,0.0,3,301,1,100,1
3822,211.0,h,1,0.0,3,301,1,1100,1
4467,211.0,i,1,0.0,4,401,1,0,0
4975,211.0,j,1,0.0,4,401,1,0,0
5547,211.0,k,1,0.0,4,401,1,0,0
97,212.0,a,1,0.0,1,102,1,0,0
427,212.0,b,1,0.0,1,102,1,0,0
1047,212.0,c,1,0.0,2,201,1,0,0
1523,212.0,d,1,0.0,2,201,1,0,0
2137,212.0,e,1,0.0,2,201,1,0,0
2745,212.0,f,1,0.0,3,301,1,0,0
3307,212.0,g,0,0.0,3,301,1,0,0
3820,212.0,h,1,0.0,3,301,1,0,0
4496,212.0,i,1,0.0,4,402,1,0,0
4966,212.0,j,1,0.0,4,402,1,0,0
5550,212.0,k,1,0.0,4,402,1,0,0
96,213.0,a,1,0.0,1,102,0,0,0
