,id,Wave,Answer,Repeater,Course,Group,Sex,outlier_type,outlier
1181,344.0,c,1,0.0,3,301,1,0,0
1632,344.0,d,1,0.0,3,301,1,0,0
2278,344.0,e,1,0.0,3,301,1,0,0
2814,344.0,f,1,0.0,4,401,1,0,0
3332,344.0,g,1,0.0,4,401,1,0,0
3899,344.0,h,1,0.0,4,401,1,0,0
260,345.0,a,1,0.0,2,201,1,0,0
557,345.0,b,1,0.0,2,201,1,0,0
1108,345.0,c,1,0.0,3,302,1,0,0
1707,345.0,d,1,0.0,3,302,1,0,0
2289,345.0,e,1,0.0,3,302,1,0,0
2813,345.0,f,1,0.0,4,401,1,0,0
3420,345.0,g,1,0.0,4,401,1,0,0
3900,345.0,h,1,0.0,4,401,1,0,0
276,346.0,a,1,0.0,2,201,0,0,0
556,346.0,b,0,0.0,2,201,0,0,0
1107,346.0,c,1,0.0,3,302,0,0,0
1706,346.0,d,1,0.0,3,302,0,0,0
2262,346.0,e,1,0.0,3,302,0,0,0
275,347.0,a,1,0.0,2,201,1,0,0
555,347.0,b,1,0.0,2,201,1,0,0
1177,347.0,c,1,0.0,3,301,1,0,0
1628,347.0,d,0,0.0,3,301,1,0,0
2274,347.0,e,1,0.0,3,301,1,0,0
2834,347.0,f,1,0.0,4,401,1,0,0
3417,347.0,g,1,0.0,4,401,1,0,0
3903,347.0,h,1,0.0,4,401,1,0,0
274,348.0,a,1,0.0,2,201,1,0,0
554,348.0,b,1,0.0,2,201,1,0,0
1175,348.0,c,1,0.0,3,301,1,0,0
1626,348.0,d,1,0.0,3,301,1,0,0
2272,348.0,e,1,0.0,3,301,1,0,0
2894,348.0,f,1,0.0,4,402,1,0,0
3436,348.0,g,1,0.0,4,402,1,0,0
3967,348.0,h,1,0.0,4,402,1,0,0
273,349.0,a,1,0.0,2,201,0,0,0
553,349.0,b,1,0.0,2,201,0,0,0
1174,349.0,c,1,0.0,3,301,0,0,0
1648,349.0,d,1,0.0,3,301,0,0,0
2271,349.0,e,1,0.0,3,301,0,0,0
2855,349.0,f,1,0.0,4,401,0,0,0
3413,349.0,g,1,0.0,4,401,0,0,0
3907,349.0,h,0,0.0,4,401,0,0,0
277,350.0,a,1,0.0,2,201,1,0,0
552,350.0,b,0,0.0,2,201,1,0,0
1101,350.0,c,1,0.0,3,302,1,0,0
1738,350.0,d,1,0.0,3,302,1,0,0
2230,350.0,e,1,0.0,3,302,1,0,0
2854,350.0,f,1,0.0,4,401,1,0,0
3412,350.0,g,0,0.0,4,401,1,0,0
3908,350.0,h,1,0.0,4,401,1,0,0
250,351.0,a,1,0.0,2,202,0,0,0
684,351.0,b,0,0.0,2,202,0,0,0
1156,351.0,c,1,0.0,3,301,0,0,0
1620,351.0,d,0,0.0,3,301,0,0,0
2269,351.0,e,1,0.0,3,301,0,0,0
249,352.0,a,1,0.0,2,202,1,0,0
683,352.0,b,1,0.0,2,202,1,0,0
1155,352.0,c,1,0.0,3,301,1,0,0
1622,352.0,d,1,0.0,3,301,1,0,0
2257,352.0,e,1,0.0,3,301,1,100,1
2832,352.0,f,1,0.0,4,401,1,0,0
3334,352.0,g,1,0.0,4,401,1,0,0
3915,352.0,h,1,0.0,4,401,1,0,0
248,353.0,a,1,0.0,2,202,1,0,0
682,353.0,b,1,0.0,2,202,1,0,0
1158,353.0,c,1,0.0,3,301,1,0,0
1623,353.0,d,1,0.0,3,301,1,0,0
2242,353.0,e,1,0.0,3,301,1,0,0
2850,353.0,f,1,0.0,4,402,1,0,0
3408,353.0,g,1,0.0,4,402,1,0,0
3920,353.0,h,1,0.0,4,402,1,0,0
247,354.0,a,1,0.0,2,202,1,0,0
681,354.0,b,1,0.0,2,202,1,0,0
1150,354.0,c,1,0.0,3,301,1,0,0
1645,354.0,d,0,0.0,3,301,1,0,0
2238,354.0,e,1,0.0,3,301,1,0,0
246,355.0,a,1,0.0,2,202,1,0,0
680,355.0,b,1,0.0,2,202,1,0,0
1148,355.0,c,1,0.0,3,301,1,0,0
1643,355.0,d,1,0.0,3,301,1,0,0
2236,355.0,e,1,0.0,3,301,1,0,0
2845,355.0,f,1,0.0,4,402,1,0,0
3403,355.0,g,1,0.0,4,402,1,0,0
3950,355.0,h,1,0.0,4,402,1,10,1
245,356.0,a,1,0.0,2,202,0,0,0
679,356.0,b,1,0.0,2,202,0,0,0
1167,356.0,c,1,0.0,3,302,0,0,0
1721,356.0,d,1,0.0,3,302,0,0,0
2226,356.0,e,1,0.0,3,302,0,0,0
2763,356.0,f,1,3.0,3,302,0,0,0
3328,356.0,g,1,2.0,3,302,0,0,0
3840,356.0,h,1,1.0,3,302,0,0,0
7335,356.0,i,0,0.0,4,402,0,0,0
4967,356.0,j,1,0.0,4,402,0,0,0
5551,356.0,k,1,0.0,4,402,0,0,0
244,357.0,a,1,0.0,2,202,0,0,0
678,357.0,b,1,0.0,2,202,0,0,0
1145,357.0,c,1,0.0,3,301,0,0,0
1640,357.0,d,1,0.0,3,301,0,0,0
2286,357.0,e,1,0.0,3,301,0,0,0
2742,357.0,f,1,3.0,3,301,0,0,0
3310,357.0,g,1,2.0,3,301,0,0,0
3817,357.0,h,1,1.0,3,301,0,0,0
4498,357.0,i,1,0.0,4,402,0,0,0
4969,357.0,j,1,0.0,4,402,0,0,0
5622,357.0,k,0,0.0,4,402,0,0,0
243,358.0,a,1,0.0,2,202,0,0,0
677,358.0,b,1,0.0,2,202,0,0,0
242,359.0,a,1,0.0,2,202,1,0,0
676,359.0,b,1,0.0,2,202,1,0,0
1112,359.0,c,1,0.0,3,302,1,0,0
1711,359.0,d,1,0.0,3,302,1,0,0
2266,359.0,e,1,0.0,3,302,1,0,0
2818,359.0,f,1,0.0,4,401,1,0,0
3376,359.0,g,1,0.0,4,401,1,0,0
3895,359.0,h,1,0.0,4,401,1,0,0
241,360.0,a,1,0.0,2,202,1,0,0
675,360.0,b,1,0.0,2,202,1,0,0
1111,360.0,c,1,0.0,3,302,1,0,0
1710,360.0,d,1,0.0,3,302,1,0,0
2265,360.0,e,1,0.0,3,302,1,0,0
2817,360.0,f,1,0.0,4,401,1,0,0
3366,360.0,g,1,0.0,4,401,1,0,0
3896,360.0,h,1,0.0,4,401,1,0,0
240,361.0,a,1,0.0,2,202,0,0,0
674,361.0,b,1,0.0,2,202,0,0,0
1110,361.0,c,1,0.0,3,302,0,0,0
1709,361.0,d,1,0.0,3,302,0,0,0
2264,361.0,e,1,0.0,3,302,0,100,1
2815,361.0,f,1,0.0,4,401,0,0,0
3447,361.0,g,1,0.0,4,401,0,0,0
3898,361.0,h,1,0.0,4,401,0,0,0
239,362.0,a,1,0.0,2,202,1,0,0
673,362.0,b,1,0.0,2,202,1,0,0
1180,362.0,c,1,0.0,3,301,1,0,0
1631,362.0,d,1,0.0,3,301,1,0,0
2277,362.0,e,1,0.0,3,301,1,0,0
2861,362.0,f,1,0.0,4,402,1,0,0
3439,362.0,g,1,0.0,4,402,1,0,0
3964,362.0,h,1,0.0,4,402,1,0,0
238,363.0,a,0,0.0,2,202,1,0,0
672,363.0,b,1,0.0,2,202,1,0,0
1179,363.0,c,1,0.0,3,301,1,0,0
1630,363.0,d,1,0.0,3,301,1,0,0
2276,363.0,e,1,0.0,3,301,1,0,0
2812,363.0,f,1,0.0,4,401,1,0,0
3419,363.0,g,1,0.0,4,401,1,0,0
3901,363.0,h,1,0.0,4,401,1,0,0
237,364.0,a,1,0.0,2,202,1,0,0
671,364.0,b,1,0.0,2,202,1,0,0
1178,364.0,c,1,0.0,3,301,1,0,0
1629,364.0,d,1,0.0,3,301,1,100,1
2275,364.0,e,1,0.0,3,301,1,100,1
2833,364.0,f,1,0.0,4,401,1,0,0
3418,364.0,g,1,0.0,4,401,1,0,0
3902,364.0,h,1,0.0,4,401,1,0,0
236,365.0,a,1,0.0,2,202,1,0,0
670,365.0,b,1,0.0,2,202,1,0,0
1176,365.0,c,1,0.0,3,301,1,0,0
1627,365.0,d,1,0.0,3,301,1,100,1
2273,365.0,e,1,0.0,3,301,1,0,0
2857,365.0,f,1,0.0,4,401,1,0,0
3416,365.0,g,1,0.0,4,401,1,0,0
3904,365.0,h,1,0.0,4,401,1,0,0
235,366.0,a,1,0.0,2,202,1,0,0
669,366.0,b,1,0.0,2,202,1,0,0
1106,366.0,c,1,0.0,3,302,1,0,0
1705,366.0,d,1,0.0,3,302,1,0,0
2261,366.0,e,1,0.0,3,302,1,0,0
234,367.0,a,1,0.0,2,202,0,0,0
668,367.0,b,1,0.0,2,202,0,0,0
1105,367.0,c,1,0.0,3,302,0,0,0
1704,367.0,d,1,0.0,3,302,0,0,0
2260,367.0,e,1,0.0,3,302,0,0,0
2835,367.0,f,1,0.0,4,401,0,0,0
3415,367.0,g,1,0.0,4,401,0,0,0
3905,367.0,h,1,0.0,4,401,0,0,0
233,368.0,a,1,0.0,2,202,0,0,0
667,368.0,b,1,0.0,2,202,0,0,0
994,368.0,c,1,3.0,2,201,0,0,0
1539,368.0,d,1,2.0,2,201,0,0,0
2147,368.0,e,1,1.0,2,201,0,0,0
2731,368.0,f,1,0.0,3,301,0,0,0
3321,368.0,g,1,0.0,3,301,0,0,0
3829,368.0,h,1,0.0,3,301,0,0,0
232,369.0,a,0,0.0,2,202,0,0,0
666,369.0,b,0,0.0,2,202,0,0,0
152,370.0,a,1,0.0,2,203,1,0,0
647,370.0,b,1,0.0,2,203,1,0,0
1184,370.0,c,1,0.0,3,302,1,100,1
1649,370.0,d,1,0.0,3,302,1,0,0
2234,370.0,e,1,0.0,3,302,1,0,0
2853,370.0,f,1,0.0,4,402,1,0,0
3411,370.0,g,1,0.0,4,402,1,10,1
3913,370.0,h,1,0.0,4,402,1,0,0
153,371.0,a,1,0.0,2,203,0,0,0
645,371.0,b,1,0.0,2,203,0,0,0
1171,371.0,c,1,0.0,3,302,0,0,0
1651,371.0,d,0,0.0,3,302,0,0,0
2232,371.0,e,1,0.0,3,302,0,0,0
154,372.0,a,1,0.0,2,203,0,0,0
644,372.0,b,1,0.0,2,203,0,0,0
1170,372.0,c,1,0.0,3,302,0,0,0
1724,372.0,d,1,0.0,3,302,0,0,0
2231,372.0,e,1,0.0,3,302,0,0,0
2829,372.0,f,1,0.0,4,401,0,0,0
3355,372.0,g,1,0.0,4,401,0,0,0
3918,372.0,h,1,0.0,4,401,0,0,0
155,373.0,a,1,0.0,2,203,1,0,0
643,373.0,b,1,0.0,2,203,1,0,0
1168,373.0,c,1,0.0,3,302,1,0,0
1722,373.0,d,1,0.0,3,302,1,0,0
2227,373.0,e,1,0.0,3,302,1,0,0
2827,373.0,f,1,0.0,4,401,1,0,0
3357,373.0,g,1,0.0,4,401,1,0,0
3911,373.0,h,1,0.0,4,401,1,0,0
156,374.0,a,0,0.0,2,203,0,0,0
642,374.0,b,1,0.0,2,203,0,0,0
1149,374.0,c,1,0.0,3,301,0,0,0
1644,374.0,d,1,0.0,3,301,0,0,0
2237,374.0,e,1,0.0,3,301,0,0,0
2826,374.0,f,1,0.0,4,401,0,0,0
3358,374.0,g,1,0.0,4,401,0,0,0
3910,374.0,h,1,0.0,4,401,0,0,0
157,375.0,a,0,0.0,2,203,0,0,0
641,375.0,b,1,0.0,2,203,0,0,0
1147,375.0,c,1,0.0,3,301,0,0,0
1642,375.0,d,1,0.0,3,301,0,0,0
2235,375.0,e,1,0.0,3,301,0,0,0
2825,375.0,f,1,0.0,4,401,0,0,0
3359,375.0,g,1,0.0,4,401,0,0,0
3909,375.0,h,1,0.0,4,401,0,0,0
158,376.0,a,1,0.0,2,203,1,0,0
640,376.0,b,0,0.0,2,203,1,0,0
1146,376.0,c,1,0.0,3,301,1,0,0
1641,376.0,d,1,0.0,3,301,1,0,0
2287,376.0,e,1,0.0,3,301,1,0,0
2824,376.0,f,1,0.0,4,401,1,0,0
3360,376.0,g,1,0.0,4,401,1,0,0
3889,376.0,h,1,0.0,4,401,1,0,0
159,377.0,a,1,0.0,2,203,0,0,0
639,377.0,b,1,0.0,2,203,0,0,0
1166,377.0,c,1,0.0,3,302,0,0,0
1720,377.0,d,0,0.0,3,302,0,0,0
2225,377.0,e,1,0.0,3,302,0,0,0
160,378.0,a,1,0.0,2,203,0,0,0
638,378.0,b,1,0.0,2,203,0,0,0
1163,378.0,c,1,0.0,3,302,0,0,0
1717,378.0,d,1,0.0,3,302,0,0,0
2222,378.0,e,1,0.0,3,302,0,0,0
2821,378.0,f,1,0.0,4,401,0,0,0
3363,378.0,g,1,0.0,4,401,0,0,0
3892,378.0,h,1,0.0,4,401,0,0,0
161,379.0,a,1,0.0,2,203,0,0,0
637,379.0,b,1,0.0,2,203,0,0,0
1140,379.0,c,1,0.0,3,302,0,0,0
1714,379.0,d,1,0.0,3,302,0,0,0
2246,379.0,e,1,0.0,3,302,0,0,0
2839,379.0,f,1,0.0,4,402,0,0,0
3423,379.0,g,1,0.0,4,402,0,0,0
3957,379.0,h,1,0.0,4,402,0,0,0
162,380.0,a,1,0.0,2,203,0,0,0
636,380.0,b,1,0.0,2,203,0,0,0
1143,380.0,c,1,0.0,3,301,0,0,0
1638,380.0,d,1,0.0,3,301,0,0,0
2284,380.0,e,1,0.0,3,301,0,0,0
186,381.0,a,0,0.0,2,203,1,0,0
635,381.0,b,1,0.0,2,203,1,0,0
1160,381.0,c,1,0.0,3,301,1,0,0
1647,381.0,d,1,0.0,3,301,1,0,0
2288,381.0,e,1,0.0,3,301,1,0,0
2836,381.0,f,1,0.0,4,402,1,0,0
3444,381.0,g,1,0.0,4,402,1,0,0
3959,381.0,h,1,0.0,4,402,1,0,0
224,382.0,a,1,0.0,2,203,0,0,0
646,382.0,b,1,0.0,2,203,0,0,0
1172,382.0,c,1,0.0,3,301,0,0,0
1636,382.0,d,1,0.0,3,301,0,0,0
2282,382.0,e,1,0.0,3,301,0,0,0
2816,382.0,f,1,0.0,4,401,0,0,0
3367,382.0,g,1,0.0,4,401,0,0,0
3897,382.0,h,0,0.0,4,401,0,0,0
259,383.0,a,1,0.0,2,203,1,0,0
660,383.0,b,0,0.0,2,203,1,0,0
1161,383.0,c,1,0.0,3,301,1,0,0
1635,383.0,d,1,0.0,3,301,1,0,0
2281,383.0,e,1,0.0,3,301,1,0,0
2768,383.0,f,0,3.0,3,302,1,0,0
3226,383.0,g,0,2.0,3,302,1,0,0
3832,383.0,h,1,1.0,3,302,1,10,1
225,384.0,a,1,0.0,2,203,0,0,0
661,384.0,b,0,0.0,2,203,0,0,0
1183,384.0,c,0,0.0,3,301,0,0,0
1634,384.0,d,1,0.0,3,301,0,0,0
2280,384.0,e,1,0.0,3,301,0,0,0
2767,384.0,f,1,3.0,3,302,0,0,0
3227,384.0,g,1,2.0,3,302,0,0,0
3831,384.0,h,1,1.0,3,302,0,0,0
4513,384.0,i,1,0.0,4,402,0,0,0
5016,384.0,j,1,0.0,4,402,0,0,0
5617,384.0,k,1,0.0,4,402,0,0,0
254,385.0,a,1,0.0,2,203,0,0,0
662,385.0,b,1,0.0,2,203,0,0,0
1109,385.0,c,1,0.0,3,302,0,0,0
1708,385.0,d,1,0.0,3,302,0,0,0
2263,385.0,e,1,0.0,3,302,0,0,0
2860,385.0,f,1,0.0,4,402,0,0,0
3440,385.0,g,1,0.0,4,402,0,0,0
3963,385.0,h,1,0.0,4,402,0,0,0
253,386.0,a,1,0.0,2,203,0,0,0
687,386.0,b,1,0.0,2,203,0,1,1
1104,386.0,c,1,0.0,3,302,0,1,1
1703,386.0,d,1,0.0,3,302,0,1,1
2259,386.0,e,1,0.0,3,302,0,10,1
2687,386.0,f,1,3.0,3,303,0,0,0
3207,386.0,g,1,2.0,3,303,0,0,0
3767,386.0,h,1,1.0,3,303,0,1011,1
4487,386.0,i,1,0.0,4,403,0,0,0
5080,386.0,j,1,0.0,4,403,0,1100,1
5629,386.0,k,1,0.0,4,403,0,1,1
252,387.0,a,1,0.0,2,203,1,0,0
686,387.0,b,1,0.0,2,203,1,0,0
1103,387.0,c,1,0.0,3,302,1,10,1
1713,387.0,d,1,0.0,3,302,1,0,0
2268,387.0,e,1,0.0,3,302,1,0,0
2856,387.0,f,0,0.0,4,401,1,0,0
3414,387.0,g,0,0.0,4,401,1,0,0
3906,387.0,h,0,0.0,4,401,1,0,0
251,388.0,a,1,0.0,2,203,1,0,0
685,388.0,b,1,0.0,2,203,1,0,0
1100,388.0,c,1,0.0,3,302,1,0,0
1727,388.0,d,1,0.0,3,302,1,0,0
2229,388.0,e,1,0.0,3,302,1,0,0
2728,388.0,f,1,3.0,3,301,1,0,0
3324,388.0,g,1,2.0,3,301,1,0,0
3844,388.0,h,1,1.0,3,301,1,0,0
4512,388.0,i,1,0.0,4,402,1,0,0
5006,388.0,j,1,0.0,4,402,1,0,0
5607,388.0,k,1,0.0,4,402,1,0,0
171,389.0,a,1,0.0,2,204,1,0,0
624,389.0,b,1,0.0,2,204,1,0,0
1122,389.0,c,1,0.0,3,304,1,0,0
1670,389.0,d,1,0.0,3,304,1,0,0
2194,389.0,e,1,0.0,3,304,1,0,0
2851,389.0,f,1,0.0,4,402,1,0,0
3409,389.0,g,1,0.0,4,402,1,0,0
3956,389.0,h,1,0.0,4,402,1,0,0
4516,389.0,i,1,3.0,4,405,1,0,0
5079,389.0,j,1,2.0,4,405,1,0,0
5592,389.0,k,0,1.0,4,405,1,0,0
172,390.0,a,1,0.0,2,204,0,0,0
625,390.0,b,1,0.0,2,204,0,0,0
1099,390.0,c,1,0.0,3,303,0,0,0
1749,390.0,d,1,0.0,3,303,0,0,0
2256,390.0,e,1,0.0,3,303,0,0,0
2887,390.0,f,1,0.0,4,403,0,0,0
3430,390.0,g,1,0.0,4,403,0,0,0
3923,390.0,h,1,0.0,4,403,0,0,0
173,391.0,a,0,0.0,2,204,0,0,0
688,391.0,b,1,0.0,2,204,0,0,0
1121,391.0,c,1,0.0,3,304,0,0,0
1669,391.0,d,0,0.0,3,304,0,0,0
2216,391.0,e,1,0.0,3,304,0,0,0
2849,391.0,f,1,0.0,4,402,0,0,0
3407,391.0,g,1,0.0,4,402,0,0,0
3946,391.0,h,0,0.0,4,402,0,0,0
175,392.0,a,1,0.0,2,204,0,11,1
626,392.0,b,1,0.0,2,204,0,1,1
1190,392.0,c,1,0.0,3,305,0,1,1
1693,392.0,d,1,0.0,3,305,0,1,1
2199,392.0,e,1,0.0,3,305,0,1,1
2884,392.0,f,1,0.0,4,403,0,0,0
3427,392.0,g,1,0.0,4,403,0,1,1
3926,392.0,h,1,0.0,4,403,0,10,1
182,393.0,a,0,0.0,2,204,0,0,0
658,393.0,b,1,0.0,2,204,0,0,0
1120,393.0,c,1,0.0,3,304,0,0,0
1668,393.0,d,1,0.0,3,304,0,0,0
2215,393.0,e,1,0.0,3,304,0,0,0
2912,393.0,f,1,0.0,4,404,0,0,0
3377,393.0,g,1,0.0,4,404,0,0,0
3869,393.0,h,1,0.0,4,404,0,0,0
176,394.0,a,1,0.0,2,204,1,0,0
657,394.0,b,1,0.0,2,204,1,0,0
1197,394.0,c,1,0.0,3,305,1,0,0
1689,394.0,d,1,0.0,3,305,1,0,0
2195,394.0,e,1,0.0,3,305,1,0,0
2754,394.0,f,1,3.0,3,303,1,0,0
3240,394.0,g,1,2.0,3,303,1,0,0
3806,394.0,h,1,1.0,3,303,1,0,0
4426,394.0,i,1,0.0,4,405,1,0,0
5065,394.0,j,1,0.0,4,405,1,0,0
5589,394.0,k,1,0.0,4,405,1,0,0
6180,394.0,l,1,3.0,4,402,1,0,0
6689,394.0,m,1,2.0,4,402,1,0,0
7297,394.0,n,1,1.0,4,402,1,0,0
177,395.0,a,1,0.0,2,204,1,0,0
656,395.0,b,1,0.0,2,204,1,0,0
1231,395.0,c,1,0.0,3,305,1,0,0
1684,395.0,d,1,0.0,3,305,1,0,0
2166,395.0,e,1,0.0,3,305,1,0,0
2906,395.0,f,1,0.0,4,404,1,0,0
3347,395.0,g,1,0.0,4,404,1,0,0
3873,395.0,h,1,0.0,4,404,1,0,0
178,396.0,a,1,0.0,2,204,0,0,0
655,396.0,b,1,0.0,2,204,0,0,0
1210,396.0,c,1,0.0,3,304,0,0,0
1662,396.0,d,1,0.0,3,304,0,0,0
2209,396.0,e,1,0.0,3,304,0,0,0
2898,396.0,f,1,0.0,4,403,0,0,0
3390,396.0,g,1,0.0,4,403,0,0,0
3939,396.0,h,1,0.0,4,403,0,0,0
179,397.0,a,1,0.0,2,204,0,0,0
654,397.0,b,1,0.0,2,204,0,0,0
1222,397.0,c,1,0.0,3,305,0,0,0
1761,397.0,d,0,0.0,3,305,0,0,0
2156,397.0,e,1,0.0,3,305,0,0,0
2838,397.0,f,0,0.0,4,402,0,0,0
3424,397.0,g,1,0.0,4,402,0,0,0
3968,397.0,h,1,0.0,4,402,0,0,0
180,398.0,a,1,0.0,2,204,0,0,0
653,398.0,b,1,0.0,2,204,0,0,0
1208,398.0,c,1,0.0,3,304,0,0,0
1660,398.0,d,1,0.0,3,304,0,0,0
2207,398.0,e,1,0.0,3,304,0,0,0
2874,398.0,f,1,0.0,4,404,0,0,0
3338,398.0,g,1,0.0,4,404,0,0,0
3861,398.0,h,1,0.0,4,404,0,0,0
4383,398.0,i,1,3.0,4,405,0,0,0
4991,398.0,j,1,2.0,4,405,0,0,0
5577,398.0,k,1,1.0,4,405,0,0,0
181,399.0,a,1,0.0,2,204,1,0,0
652,399.0,b,1,0.0,2,204,1,0,0
1114,399.0,c,1,0.0,3,303,1,0,0
1740,399.0,d,1,0.0,3,303,1,0,0
2247,399.0,e,1,0.0,3,303,1,1000,1
2837,399.0,f,1,0.0,4,402,1,0,0
3445,399.0,g,1,0.0,4,402,1,1000,1
3958,399.0,h,1,0.0,4,402,1,0,0
167,400.0,a,1,0.0,2,204,1,0,0
651,400.0,b,1,0.0,2,204,1,10,1
1136,400.0,c,1,0.0,3,303,1,10,1
1735,400.0,d,1,0.0,3,303,1,0,0
2190,400.0,e,1,0.0,3,303,1,0,0
2870,400.0,f,1,0.0,4,404,1,0,0
3353,400.0,g,1,0.0,4,404,1,0,0
3848,400.0,h,1,0.0,4,404,1,0,0
166,401.0,a,1,0.0,2,204,1,0,0
650,401.0,b,1,0.0,2,204,1,0,0
1215,401.0,c,1,0.0,3,305,1,0,0
1756,401.0,d,1,0.0,3,305,1,0,0
2150,401.0,e,1,0.0,3,305,1,0,0
2869,401.0,f,1,0.0,4,404,1,0,0
3375,401.0,g,1,0.0,4,404,1,0,0
3850,401.0,h,0,0.0,4,404,1,0,0
165,402.0,a,1,0.0,2,204,1,0,0
649,402.0,b,1,0.0,2,204,1,0,0
1129,402.0,c,1,0.0,3,303,1,0,0
1728,402.0,d,1,0.0,3,303,1,0,0
2183,402.0,e,1,0.0,3,303,1,0,0
2863,402.0,f,1,0.0,4,404,1,0,0
3369,402.0,g,1,0.0,4,404,1,0,0
3856,402.0,h,0,0.0,4,404,1,0,0
4476,402.0,i,1,3.0,4,414,1,0,0
4960,402.0,j,1,2.0,4,414,1,0,0
5529,402.0,k,1,1.0,4,414,1,0,0
164,403.0,a,1,0.0,2,204,1,0,0
648,403.0,b,1,0.0,2,204,1,0,0
1196,403.0,c,0,0.0,3,304,1,0,0
1676,403.0,d,1,0.0,3,304,1,0,0
2192,403.0,e,1,0.0,3,304,1,0,0
2889,403.0,f,1,0.0,4,402,1,0,0
3432,403.0,g,1,0.0,4,402,1,0,0
3921,403.0,h,1,0.0,4,402,1,0,0
163,404.0,a,1,0.0,2,204,0,0,0
659,404.0,b,0,0.0,2,204,0,0,0
1195,404.0,c,1,0.0,3,304,0,0,0
1698,404.0,d,1,0.0,3,304,0,0,0
2193,404.0,e,1,0.0,3,304,0,0,0
142,405.0,a,1,0.0,2,209,1,0,0
593,405.0,b,1,0.0,2,209,1,0,0
1126,405.0,c,1,0.0,3,339,1,0,0
1700,405.0,d,1,0.0,3,339,1,0,0
2180,405.0,e,1,0.0,3,339,1,0,0
174,406.0,a,0,0.0,2,209,0,0,0
592,406.0,b,1,0.0,2,209,0,0,0
1125,406.0,c,0,0.0,3,339,0,0,0
1687,406.0,d,0,0.0,3,339,0,0,0
2179,406.0,e,1,0.0,3,339,0,0,0
149,407.0,a,0,0.0,2,209,0,0,0
591,407.0,b,1,0.0,2,209,0,0,0
150,408.0,a,1,0.0,2,209,0,0,0
590,408.0,b,1,0.0,2,209,0,0,0
168,409.0,a,1,0.0,2,209,1,0,0
589,409.0,b,1,0.0,2,209,1,0,0
1045,409.0,c,1,3.0,2,229,1,0,0
1497,409.0,d,1,2.0,2,229,1,0,0
2048,409.0,e,1,1.0,2,229,1,0,0
169,410.0,a,1,0.0,2,209,1,0,0
588,410.0,b,1,0.0,2,209,1,0,0
989,410.0,c,1,3.0,2,219,1,0,0
1548,410.0,d,1,2.0,2,219,1,0,0
2061,410.0,e,1,1.0,2,219,1,0,0
2799,410.0,f,1,0.0,3,344,1,0,0
3283,410.0,g,1,0.0,3,344,1,0,0
3734,410.0,h,1,0.0,3,344,1,0,0
170,411.0,a,1,0.0,2,209,1,100,1
587,411.0,b,1,0.0,2,209,1,0,0
1123,411.0,c,0,0.0,3,339,1,0,0
1671,411.0,d,1,0.0,3,339,1,0,0
2177,411.0,e,1,0.0,3,339,1,100,1
212,412.0,a,0,0.0,2,205,0,0,0
598,412.0,b,0,0.0,2,205,0,0,0
211,413.0,a,0,0.0,2,205,1,0,0
586,413.0,b,0,0.0,2,205,1,0,0
210,414.0,a,1,0.0,2,205,1,0,0
610,414.0,b,1,0.0,2,205,1,0,0
1098,414.0,c,1,0.0,3,303,1,0,0
1748,414.0,d,1,0.0,3,303,1,0,0
2255,414.0,e,1,0.0,3,303,1,0,0
2885,414.0,f,1,0.0,4,403,1,0,0
3428,414.0,g,1,0.0,4,403,1,0,0
3925,414.0,h,0,0.0,4,403,1,0,0
209,415.0,a,1,0.0,2,205,1,0,0
609,415.0,b,1,0.0,2,205,1,0,0
1188,415.0,c,1,0.0,3,305,1,0,0
1691,415.0,d,0,0.0,3,305,1,0,0
2197,415.0,e,1,0.0,3,305,1,0,0
2750,415.0,f,1,3.0,3,344,1,0,0
3279,415.0,g,1,2.0,3,344,1,0,0
3738,415.0,h,1,1.0,3,344,1,0,0
4473,415.0,i,1,0.0,4,414,1,0,0
4957,415.0,j,1,0.0,4,414,1,0,0
5532,415.0,k,1,0.0,4,414,1,0,0
208,416.0,a,1,0.0,2,205,0,0,0
608,416.0,b,1,0.0,2,205,0,0,0
1221,416.0,c,1,0.0,3,305,0,0,0
1688,416.0,d,1,0.0,3,305,0,0,0
2205,416.0,e,1,0.0,3,305,0,0,0
2846,416.0,f,1,0.0,4,402,0,0,0
3404,416.0,g,1,0.0,4,402,0,0,0
3949,416.0,h,1,0.0,4,402,0,0,0
207,417.0,a,1,0.0,2,205,1,0,0
607,417.0,b,1,0.0,2,205,1,0,0
1232,417.0,c,1,0.0,3,305,1,0,0
1685,417.0,d,0,0.0,3,305,1,0,0
2167,417.0,e,1,0.0,3,305,1,0,0
206,418.0,a,1,0.0,2,205,1,0,0
606,418.0,b,1,0.0,2,205,1,0,0
1095,418.0,c,1,0.0,3,303,1,0,0
1745,418.0,d,1,0.0,3,303,1,0,0
2252,418.0,e,1,0.0,3,303,1,0,0
2907,418.0,f,0,0.0,4,404,1,0,0
205,419.0,a,1,0.0,2,205,0,0,0
605,419.0,b,1,0.0,2,205,0,0,0
1229,419.0,c,1,0.0,3,305,0,0,0
1682,419.0,d,1,0.0,3,305,0,0,0
2164,419.0,e,1,0.0,3,305,0,0,0
2880,419.0,f,1,0.0,4,403,0,0,0
3396,419.0,g,1,0.0,4,403,0,0,0
3932,419.0,h,1,0.0,4,403,0,0,0
204,420.0,a,0,0.0,2,205,1,0,0
604,420.0,b,1,0.0,2,205,1,0,0
